State,Product Category,Sales Channel,Month,Year,Quantity Sold,Unit Price,Revenue,Expense,Profit
Delhi,Tyres,Distributor,Jun,2020,152.0,816.89,124167.28,82472.18,41695.10000000001
Gujarat,Tubes,Distributor,Feb,2020,121.0,638.79,77293.59,50596.89,26696.7
Delhi,Tubes,Retail,Dec,2020,516.0,189.98,98029.68,74574.82,23454.85999999999
Rajasthan,Tyres,Retail,Sep,2020,422.0,641,270502.0,229338.47,41163.53
Uttar Pradesh,Suspension,Distributor,Jul,2020,711.0,150.77,107197.47,91407.24,15790.23
Maharashtra,Suspension,Retail,Sep,2020,463.0,291.11,134783.93,89447.84,45336.09
Haryana,Brakes,Online,Nov,2020,326.0,655.73,213767.98,174023.94,39744.04000000001
Delhi,Tyres,Online,Apr,2020,302.0,488.75,147602.5,103606.65,43995.85000000001
Punjab,Batteries,Distributor,Nov,2020,108.0,459.87,49665.96,30610.77,19055.19
Delhi,Tubes,Distributor,Jul,2020,749.0,429.73,321867.77,244498.64,77369.13
Tamil Nadu,Alloys,Online,Dec,2020,736.0,656.55,,354617.24,128603.56
Haryana,Brakes,Retail,Dec,2020,293.0,633.17,185518.81,114327.38,71191.43
Uttar Pradesh,Batteries,Distributor,Mar,2020,868.0,712.28,618259.04,468439.26,149819.78
Gujarat,Suspension,Online,Apr,2020,323.0,954,308142.0,289028.33,19113.66999999998
Uttar Pradesh,Brakes,Distributor,May,2020,291.0,446.87,130039.17,78750.19,51288.98
Delhi,Tyres,Distributor,Nov,2020,947.0,715.81,677872.07,511151.72,166720.35
West Bengal,Batteries,Distributor,Sep,2020,504.0,649,327096.0,291644.75,35451.25
Uttar Pradesh,Tyres,Retail,Apr,2020,84.0,918.39,77144.76,53274.09,23870.67
Uttar Pradesh,Alloys,Distributor,Jan,2020,921.0,779.83,718223.43,537808.98,180414.4500000001
Punjab,Batteries,Retail,Feb,2020,615.0,592.04,364104.6,242019.99,122084.61
Uttar Pradesh,Tyres,Online,,2020,752.0,858.06,645261.12,488729.77,156531.35
Punjab,Batteries,Online,Nov,2020,251.0,905.34,227240.34,183897.65,43342.69
Tamil Nadu,Batteries,Distributor,Sep,2020,865.0,393.89,340714.85,272454.47,68260.38
Punjab,Brakes,Retail,Jan,2020,301.0,140.7,42350.7,30232.71,12117.99
Gujarat,Tubes,Online,Sep,2020,769.0,772.59,594121.71,468698.01,125423.7
Tamil Nadu,Alloys,Retail,May,2020,841.0,421.08,354128.28,247297.37,106830.91
Tamil Nadu,Suspension,Online,Jun,2020,429.0,348.4,149463.6,105176.9,44286.70000000001
West Bengal,Tubes,Distributor,Jun,2020,862.0,167.1,144040.2,136177.11,7863.090000000026
Punjab,Batteries,Retail,Mar,2020,393.0,455.39,178968.27,125764.74,53203.52999999998
Tamil Nadu,Tubes,Retail,Jun,2020,112.0,833.92,93399.04,79146.35,14252.68999999999
,Batteries,Online,Jul,2020,724.0,811.16,587279.84,476921.73,110358.11
Rajasthan,Brakes,Online,Sep,2020,539.0,422.62,227792.18,145913.23,81878.94999999998
Tamil Nadu,Brakes,Online,Mar,2020,184.0,865.03,159165.52,120537.28,38628.23999999999
Maharashtra,Tyres,Online,Mar,2020,82.0,157.2,12890.4,9137.28,3753.119999999999
Uttar Pradesh,Alloys,Distributor,Apr,2020,777.0,699.33,543379.41,438482.31,104897.1
Maharashtra,Alloys,Online,Sep,2020,775.0,898.49,696329.75,532883.91,163445.84
Maharashtra,Alloys,Retail,Apr,2020,662.0,974.54,645145.48,578772.81,66372.66999999993
Uttar Pradesh,Batteries,Distributor,Aug,2020,54.0,605.15,32678.1,28424.67,4253.43
Rajasthan,Suspension,Retail,Jan,2020,920.0,136.39,125478.8,106497.87,18980.93000000001
Uttar Pradesh,Alloys,Distributor,Apr,2020,907.0,122.88,111452.16,71079.95,40372.21000000001
Maharashtra,Alloys,Online,Dec,2020,624.0,Error,565462.56,433358.96,132103.6
Uttar Pradesh,Alloys,Distributor,Mar,2020,145.0,725.96,105264.2,68291.83,36972.37
West Bengal,Batteries,Online,Jan,2020,280.0,469.34,131415.2,113600.94,17814.26000000001
Tamil Nadu,Tubes,Online,Jan,2020,85.0,948.57,80628.45,65277.03,15351.42
Tamil Nadu,Brakes,Online,Sep,2020,292.0,245.1,71569.2,66229.72,5339.479999999996
Uttar Pradesh,Tubes,Online,Nov,2020,606.0,366.07,221838.42,141293.99,80544.43000000002
Delhi,Alloys,Retail,Aug,2020,845.0,823.3,695688.5,462841.23,232847.27
Tamil Nadu,Brakes,Distributor,Mar,2020,847.0,894.95,758022.65,540864.9,217157.75
Maharashtra,Tyres,Retail,Apr,2020,397.0,420.67,167005.99,153209.62,13796.37
Haryana,Tubes,Retail,Sep,2020,434.0,305.14,132430.76,99255.23,33175.53000000001
Uttar Pradesh,Tubes,Retail,Dec,2020,677.0,417.31,282518.87,199648.58,82870.29000000001
